###FILE ALREADY PARSED###
BPM 32550 0
BPM 32716.67 240
BPM 32800 0
BPM 32883.33 240
BPM 32966.67 0
BPM 33050 240
BPM 33133.33 0
BPM 33216.67 240
BPM 33300 0
BPM 33383.33 240
BPM 33466.67 0
BPM 33550 240
BPM 33633.33 0
BPM 33716.67 120
BPM 550 120
550 0 6
883 0 3
1216 0 5
1550 0 2
1716 0 6
2050 0 6
2383 0 3
2550 0 7
2883 0 3
3216 0 6
3550 0 3
3883 0 5
4216 0 2
4383 0 6
4716 0 6
5050 0 3
5216 0 5
5550 0 7
5883 0 6
6216 0 5
6550 0 3
6883 0 5
7050 0 6
7383 0 6
7716 0 3
8050 0 3
8216 0 6
8383 0 2
8550 0 7
8883 0 5
9216 0 3
9550 0 4
9716 0 2
10050 0 5
10216 0 3
10550 0 1
10883 0 3
11216 0 1
11216 0 5
11550 0 2
11883 0 4
12216 0 5
12383 0 6
12716 0 6
13050 0 1
13383 0 2
13550 0 3
13716 0 5
13883 0 6
14216 0 2
14550 0 4
14883 0 7
15050 0 5
15383 0 4
15716 0 3
16050 0 3
16216 0 5
16383 0 6
16550 0 7
16883 0 2
17216 0 5
17550 0 3
17716 0 6
18050 0 5
18383 0 3
18716 0 3
18883 0 6
19050 0 3
19216 0 5
19550 0 2
19883 0 4
20216 0 2
20383 0 7
20716 0 7
20883 0 5
21216 0 3
21550 0 5
21883-23216 0 2
21883-23216 0 6
23216 0 4
23550 0 1
23550 0 4
23883 0 4
24216 0 1
24216 0 4
24550 0 4
24883 0 1
24883 0 4
25216 0 4
25550 0 1
25550 0 4
25883 0 4
26216 0 1
26216 0 4
26550 0 4
26883 0 1
26883 0 4
27216 0 4
27550 0 1
27550 0 4
27883 0 6
28050 0 7
28133 0 5
28216 0 3
28550 0 2
28550 0 4
28550 0 6
28883 0 4
28883 0 7
29216 0 4
29550 0 4
29550 0 7
29883 0 4
30216 0 4
30216 0 7
30550 0 4
30883 0 4
30883 0 7
31216 0 4
31550 0 4
31550 0 7
31883 0 4
32216 0 4
32216 0 7
32550-33716 0 2
33883 0 6
34050 0 2
34216 0 3
34383 0 2
34550 0 5
34716 0 3
34883 0 2
35050 0 6
35216 0 4
35383 0 6
35550 0 4
35716 0 3
35883 0 7
36050 0 4
36216 0 3
36383 0 4
36550 0 6
36716 0 4
36883 0 3
37050 0 2
37216 0 5
37383 0 3
37550 0 2
37716 0 6
37883 0 2
38050 0 6
38216 0 4
38383 0 3
38550 0 5
38716 0 3
38883 0 7
39050 0 3
39216 0 1
39216 0 6
39383 0 3
39550 0 5
39716 0 2
39883 0 3
40050 0 2
40216 0 5
40383 0 6
40550 0 2
40716 0 6
40883 0 4
41050 0 3
41216 0 4
41383 0 3
41550 0 6
41716 0 2
41883 0 7
42050 0 4
42216 0 5
42383 0 4
42550 0 3
42716 0 1
42883 0 4
43050 0 2
43216 0 1
43383 0 5
43550 0 3
43716 0 4
43883 0 1
44050 0 3
44216 0 6
44550 0 1
44550 0 5
44883 0 2
45216 0 4
45550 0 5
45716 0 6
46050 0 6
46383 0 1
46716 0 2
46883 0 3
47050 0 4
47216 0 5
47550 0 2
47883 0 4
48216 0 7
48383 0 5
48716 0 4
49050 0 3
49383 0 3
49550 0 5
49716 0 6
49883 0 1
49883 0 7
50216 0 2
50550 0 5
50883 0 3
51050 0 6
51216 0 1
51383 0 5
51716 0 2
52050 0 2
52216 0 6
52383 0 2
52550 0 1
52550 0 7
52883 0 3
53216 0 1
53216 0 5
53550 0 3
53716 0 7
53883 0 1
54050 0 1
54050 0 7
54216 0 5
54550 0 3
54883 0 6
55216-56550 0 1
55216-56550 0 2
55383 0 7
55550 0 7
55716 0 3
55883 0 6
56133 0 6
56383 0 6
56716 0 7
56883 0 7
57050 0 3
57216 0 6
57466 0 6
57716 0 6
58050 0 5
58216 0 5
58383 0 2
58550 0 3
58800 0 3
59050 0 3
59383 0 5
59550 0 5
59716 0 2
59883 0 7
60216 0 5
60383 0 4
60716 0 6
60883 0 6
61050 0 3
61216 0 7
61466 0 7
61716 0 7
62050 0 5
62216 0 5
62383 0 3
62550 0 4
62800 0 4
63050 0 4
63383 0 6
63550 0 6
63716 0 3
63883 0 7
64133 0 7
64383 0 7
64716 0 4
64883 0 4
65050 0 1
65216 0 3
65383 0 4
65550 0 3
65550 0 5
65716 0 3
65716 0 6
65883 0 1
65883 0 7
66216 0 3
66550 0 4
66883 0 5
67050 0 6
67383 0 6
67716 0 1
68050 0 1
68216 0 3
68383 0 5
68550 0 6
68883 0 2
69216 0 4
