###FILE ALREADY PARSED###
BPM 530 120
530 0 1
530 0 3
530 0 7
687 0 5
844 0 1
922 0 4
1001 0 5
1158 0 1
1158 0 5
1315 0 4
1393 0 6
1472 0 1
1550 0 4
1629 0 5
1786 0 1
1786 0 7
1865 0 6
1943 0 2
1943 0 4
2022 0 6
2100 0 1
2100 0 3
2179 0 5
2179 0 7
2257 0 2
2257 0 4
2336 0 5
2414 0 1
2414 0 4
2414 0 7
2493 0 6
2571 0 2
2571 0 3
2650 0 4
2650 0 6
2728 0 1
2728 0 3
2728 0 5
2807 0 7
2886 0 2
2886 0 5
2964 0 6
3043 0 1
3043 0 3
3200 0 5
3357 0 1
3357 0 2
3514 0 3
3671 0 1
3671 0 6
3749 0 4
3828 0 6
3906 0 4
3985 0 1
4142 0 6
4221 0 4
4299 0 1
4299 0 5
4561 0 7
4613 0 1
4666 0 5
4823 0 6
4927 0 1
5084 0 5
5242 0 1
5242 0 4
5399 0 1
5556 0 1
5556 0 3
5556 0 7
5713 0 5
5870 0 1
5870 0 7
5948 0 4
6027 0 5
6184 0 1
6184 0 5
6341 0 4
6420 0 6
6498 0 1
6498 0 3
6577 0 4
6655 0 5
6812 0 1
6812 0 7
6969 0 5
7126 0 1
7205 0 4
7283 0 5
7441 0 1
7441 0 5
7598 0 4
7676 0 6
7755 0 1
7755 0 3
7833 0 5
7912 0 6
8069 0 1
8069 0 3
8226 0 4
8383 0 1
8383 0 6
8383 0 7
8461 0 4
8540 0 6
8540 0 7
8619 0 4
8697 0 6
8697 0 7
8776 0 4
8854 0 6
8854 0 7
8933 0 4
9011 0 6
9011 0 7
9090 0 4
9168 0 6
9168 0 7
9247 0 4
9325 0 5
9639 0 4
9718 0 3
9875 0 5
10111 0 3
10268 0 6
10582 0 1
10582 0 5
10582 0 7
10739 0 2
10896 0 3
10896 0 6
10896 0 7
11053 0 4
11210 0 1
11210 0 5
11367 0 7
11524 0 1
11524 0 3
11524 0 6
11681 0 4
11838 0 2
11838 0 3
11838 0 7
11995 0 1
11995 0 5
12153 0 1
12153 0 2
12153 0 7
12231 0 4
12310 0 3
12310 0 5
12467 0 5
12467 0 6
12624 0 1
12624 0 4
12702 0 6
12781 0 1
12781 0 3
12781 0 5
12859 0 4
12938 0 5
12938 0 6
13095 0 1
13095 0 5
13095 0 7
13252 0 2
13409 0 3
13409 0 6
13409 0 7
13566 0 4
13723 0 1
13723 0 5
13880 0 7
14037 0 1
14037 0 3
14037 0 6
14194 0 4
14351 0 2
14351 0 3
14351 0 7
14509 0 5
14509 0 6
14666 0 1
14666 0 5
14666 0 7
14744 0 4
14823 0 3
14823 0 5
14980 0 2
14980 0 5
15058 0 6
15137 0 4
15137 0 7
15215 0 6
15294 0 1
15294 0 3
15294 0 5
15372 0 4
15451 0 2
15451 0 5
15530 0 3
15530 0 6
15608 0 1
15608 0 4
15608 0 7
15765 0 2
15922 0 3
15922 0 6
15922 0 7
16079 0 4
16236 0 1
16236 0 5
16393 0 7
16550 0 1
16550 0 3
16550 0 5
16708 0 4
16865 0 2
16865 0 3
16865 0 7
17022 0 1
17022 0 5
17179 0 2
17179 0 7
17257 0 4
17336 0 5
17336 0 6
17493 0 2
17493 0 5
17493 0 7
17650 0 1
17650 0 4
17728 0 6
17807 0 2
17807 0 3
17886 0 4
17964 0 5
17964 0 6
18121 0 1
18121 0 3
18121 0 7
18278 0 2
18278 0 5
18435 0 1
18435 0 3
18435 0 7
18514 0 4
18592 0 5
18592 0 6
18749 0 1
18749 0 3
18749 0 5
18749 0 7
18828 0 2
18906 0 4
18906 0 5
18985 0 6
19064 0 2
19064 0 3
19064 0 5
19142 0 4
19142 0 6
19221 0 3
19221 0 5
19221 0 7
19378 0 1
19378 0 4
19378 0 7
19535 0 2
19692 0 3
19692 0 6
19692 0 7
19770 0 4
19849 0 2
19849 0 6
19849 0 7
19927 0 4
20006 0 5
20006 0 6
20006 0 7
20084 0 4
20163 0 2
20163 0 6
20163 0 7
20242 0 4
20320 0 5
20320 0 6
20320 0 7
20399 0 4
20477 0 1
20477 0 6
20477 0 7
20556 0 4
20634 0 1
20634 0 3
20634 0 5
20634 0 7
20791 0 2
20791 0 4
20948 0 3
20948 0 5
20948 0 6
20948 0 7
21105 0 2
21105 0 4
21262 0 1
21262 0 3
21262 0 5
21420 0 4
21420 0 6
21420 0 7
21577 0 1
21577 0 2
21577 0 3
21577 0 5
21734 0 2
21734 0 4
21891 0 1
21891 0 3
21891 0 7
22048 0 2
22048 0 5
22205 0 3
22205 0 6
22205 0 7
22362 0 2
22362 0 5
22519 0 1
22519 0 4
22519 0 7
22676 0 2
22676 0 5
22833 0 1
22833 0 2
22833 0 3
22833 0 6
22990 0 4
22990 0 7
23147 0 1
23147 0 3
23147 0 5
23147 0 7
23304 0 2
23304 0 4
23461 0 3
23461 0 5
23461 0 6
23461 0 7
23619 0 2
23619 0 4
23776 0 1
23776 0 3
23776 0 5
23933 0 4
23933 0 6
23933 0 7
24090 0 1
24090 0 2
24090 0 3
24090 0 5
24247 0 2
24247 0 4
24404 0 1
24404 0 3
24404 0 7
24561 0 4
24561 0 6
24561 0 7
24718 0 1
24718 0 3
24718 0 5
24875 0 2
24875 0 4
25032 0 1
25032 0 3
25032 0 6
25032 0 7
25189 0 2
25189 0 4
25346 0 1
25346 0 3
25346 0 6
25503 0 2
25503 0 5
25503 0 7
